Date,PM2.5 AQI Value,AQI Category,Site Name,Site ID,Source
1/1/15,156,Unhealthy,Reseda,06-037-1201,AQS
1/2/15,105,Unhealthy for Sensitive Groups,Reseda,06-037-1201,AQS
1/3/15,106,Unhealthy for Sensitive Groups,Reseda,06-037-1201,AQS
1/4/15,107,Unhealthy for Sensitive Groups,Long Beach (South),06-037-4004,AQS
1/5/15,73,Moderate,Anaheim,06-059-0007,AQS
1/6/15,55,Moderate,Anaheim,06-059-0007,AQS
1/7/15,66,Moderate,Anaheim,06-059-0007,AQS
1/8/15,77,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
1/9/15,105,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
1/10/15,123,Unhealthy for Sensitive Groups,Reseda,06-037-1201,AQS
1/11/15,76,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
1/12/15,103,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
1/13/15,114,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
1/14/15,70,Moderate,Long Beach (South),06-037-4004,AQS
1/15/15,46,Good,Long Beach (South),06-037-4004,AQS
1/16/15,54,Moderate,Long Beach (South),06-037-4004,AQS
1/17/15,80,Moderate,Long Beach (South),06-037-4004,AQS
1/18/15,105,Unhealthy for Sensitive Groups,Compton,06-037-1302,AQS
1/19/15,110,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
1/20/15,153,Unhealthy,Los Angeles-North Main Street,06-037-1103,AQS
1/21/15,159,Unhealthy,Los Angeles-North Main Street,06-037-1103,AQS
1/22/15,83,Moderate,Long Beach (South),06-037-4004,AQS
1/23/15,53,Moderate,Long Beach (South),06-037-4004,AQS
1/24/15,88,Moderate,Mission Viejo,06-059-2022,AQS
1/25/15,47,Good,Los Angeles-North Main Street,06-037-1103,AQS
1/26/15,50,Good,Reseda,06-037-1201,AQS
1/27/15,54,Moderate,Anaheim,06-059-0007,AQS
1/28/15,56,Moderate,Long Beach (South),06-037-4004,AQS
1/29/15,64,Moderate,Long Beach (South),06-037-4004,AQS
1/30/15,78,Moderate,Reseda,06-037-1201,AQS
1/31/15,69,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
2/1/15,73,Moderate,Long Beach (South),06-037-4004,AQS
2/2/15,87,Moderate,Long Beach (South),06-037-4004,AQS
2/3/15,120,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
2/4/15,156,Unhealthy,Los Angeles-North Main Street,06-037-1103,AQS
2/5/15,149,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
2/6/15,141,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
2/7/15,105,Unhealthy for Sensitive Groups,Anaheim,06-059-0007,AQS
2/8/15,72,Moderate,Reseda,06-037-1201,AQS
2/9/15,50,Good,Anaheim,06-059-0007,AQS
2/10/15,62,Moderate,Anaheim,06-059-0007,AQS
2/11/15,55,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
2/12/15,43,Good,Long Beach (South),06-037-4004,AQS
2/13/15,56,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
2/14/15,55,Moderate,Long Beach (South),06-037-4004,AQS
2/15/15,65,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
2/16/15,101,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
2/17/15,110,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
2/18/15,127,Unhealthy for Sensitive Groups,Los Angeles-North Main Street,06-037-1103,AQS
2/19/15,152,Unhealthy,Los Angeles-North Main Street,06-037-1103,AQS
2/20/15,130,Unhealthy for Sensitive Groups,Reseda,06-037-1201,AQS
2/21/15,80,Moderate,Reseda,06-037-1201,AQS
2/22/15,60,Moderate,Reseda,06-037-1201,AQS
2/23/15,50,Good,Reseda,06-037-1201,AQS
2/24/15,42,Good,Anaheim,06-059-0007,AQS
2/25/15,60,Moderate,Reseda,06-037-1201,AQS
2/26/15,71,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
2/27/15,66,Moderate,Reseda,06-037-1201,AQS
2/28/15,40,Good,Reseda,06-037-1201,AQS
3/1/15,48,Good,Reseda,06-037-1201,AQS
3/2/15,56,Moderate,Reseda,06-037-1201,AQS
3/3/15,54,Moderate,Reseda,06-037-1201,AQS
3/4/15,50,Good,Reseda,06-037-1201,AQS
3/5/15,45,Good,Long Beach (South),06-037-4004,AQS
3/6/15,51,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
3/7/15,60,Moderate,Long Beach-Route 710 Near Road,06-037-4008,AQS
3/8/15,63,Moderate,Reseda,06-037-1201,AQS
