State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,0,170,0
California,Alpine,2015,31,1,14,13,3,0,0,170,149,102,0,0,0,0,31,0
California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0,0
California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,0,127,1
California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,0,91,0
California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,0,208,3
California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,0,145,0
California,Del Norte,2015,114,106,8,0,0,0,0,69,39,15,0,0,0,0,114,0
California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,0,5,10
California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,0,133,5
California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,0,99,23
California,Humboldt,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,0,176,6
California,Imperial,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,0,127,86
California,Inyo,2015,365,203,141,12,6,0,3,1383,90,48,0,0,286,0,29,50
California,Kern,2015,365,44,199,93,28,1,0,201,146,84,0,1,231,0,129,4
California,Kings,2015,365,90,205,60,10,0,0,174,119,71,0,0,197,0,131,37
California,Lake,2015,363,351,11,1,0,0,0,148,47,36,0,0,361,0,2,0
California,Los Angeles,2015,365,26,207,95,36,1,0,203,151,79,0,25,189,0,149,2
California,Madera,2015,365,109,209,43,4,0,0,154,105,63,0,0,223,0,127,15
California,Marin,2015,364,284,78,2,0,0,0,103,61,36,0,16,178,0,169,1
California,Mariposa,2015,365,239,115,6,4,1,0,215,84,46,0,0,327,0,29,9
California,Mendocino,2015,365,302,59,2,2,0,0,160,55,38,0,0,136,0,229,0
California,Merced,2015,365,142,178,41,4,0,0,159,105,58,0,0,217,0,147,1
California,Mono,2015,365,321,25,2,4,1,12,3994,54,14,0,0,0,0,29,336
California,Monterey,2015,365,331,33,1,0,0,0,120,50,37,0,2,258,0,80,25
California,Napa,2015,365,237,127,1,0,0,0,108,69,44,1,1,145,0,216,2
California,Nevada,2015,364,217,116,29,2,0,0,166,93,47,0,0,356,0,8,0
California,Orange,2015,365,126,218,19,2,0,0,156,87,56,0,36,128,0,200,1
California,Placer,2015,365,168,176,17,4,0,0,187,90,54,0,0,267,0,98,0
California,Plumas,2015,132,68,50,10,4,0,0,157,102,50,0,0,0,0,132,0
California,Riverside,2015,365,43,182,106,32,2,0,238,150,87,0,0,194,0,107,64
California,Sacramento,2015,365,153,184,25,3,0,0,172,93,54,0,4,193,0,168,0
California,San Benito,2015,365,313,52,0,0,0,0,93,58,39,0,0,341,0,23,1
California,San Bernardino,2015,365,35,199,89,37,5,0,223,154,83,0,31,202,0,125,7
California,San Diego,2015,365,91,233,40,1,0,0,155,102,61,0,8,208,0,147,2
California,San Francisco,2015,365,300,65,0,0,0,0,100,56,35,0,68,164,0,133,0
California,San Joaquin,2015,365,138,191,32,4,0,0,164,100,56,0,1,170,0,188,6
California,San Luis Obispo,2015,365,163,197,5,0,0,0,126,80,53,0,0,191,0,148,26
California,San Mateo,2015,364,326,37,1,0,0,0,101,51,32,0,40,230,0,94,0
California,Santa Barbara,2015,365,249,115,1,0,0,0,101,67,45,0,3,251,0,106,5
California,Santa Clara,2015,365,247,111,7,0,0,0,147,67,43,0,15,187,0,163,0
California,Santa Cruz,2015,365,320,45,0,0,0,0,94,54,35,0,0,254,0,111,0
California,Shasta,2015,365,256,96,12,1,0,0,156,84,44,0,0,354,0,11,0
California,Siskiyou,2015,362,334,24,4,0,0,0,139,48,36,0,0,343,0,17,2
California,Solano,2015,365,246,115,4,0,0,0,118,74,44,0,6,201,0,157,1
California,Sonoma,2015,365,321,44,0,0,0,0,88,53,35,0,1,267,0,94,3
California,Stanislaus,2015,365,127,190,43,5,0,0,187,112,59,0,0,202,0,154,9
California,Sutter,2015,365,194,163,8,0,0,0,119,84,49,1,2,233,0,129,0
California,Tehama,2015,365,231,115,18,1,0,0,153,87,45,0,0,311,0,52,2
California,Trinity,2015,68,68,0,0,0,0,0,49,22,9,0,0,0,0,68,0
California,Tulare,2015,365,50,217,78,20,0,0,170,143,78,0,0,206,0,154,5
California,Tuolumne,2015,364,264,89,11,0,0,0,126,77,43,0,0,364,0,0,0
California,Ventura,2015,365,183,169,13,0,0,0,126,84,50,0,4,226,0,131,4
California,Yolo,2015,365,236,125,4,0,0,0,103,75,44,0,2,230,0,133,0
