Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Employment & Income,Income,Median Household Income,2015,55457,"Census Tract 1222, Los Angeles County, California",122200,Sun Valley,1400000US06037122200,"(34.214391, -118.3596165)",Median_Household_Income_2015_1400000US06037122200,01/01/2015
Employment & Income,Income,Median Household Income,2015,31667,"Census Tract 1201.04, Los Angeles County, California",120104,Panorama City,1400000US06037120104,"(34.224796, -118.4484845)",Median_Household_Income_2015_1400000US06037120104,01/01/2015
Employment & Income,Income,Median Household Income,2016,52978,"Census Tract 9106.05, Los Angeles County, California",910605,Palmdale,1400000US06037910605,"(34.569375, -118.0672205)",Median_Household_Income_2016_1400000US06037910605,01/01/2016
Employment & Income,Income,Median Household Income,2012,35993,"Census Tract 5358.03, Los Angeles County, California",535803,South Gate,1400000US06037535803,"(33.948089, -118.210065)",Median_Household_Income_2012_1400000US06037535803,01/01/2012
Employment & Income,Income,Median Household Income,2014,21369,"Census Tract 1904.02, Los Angeles County, California",190402,Los Feliz,1400000US06037190402,"(34.103557, -118.307149)",Median_Household_Income_2014_1400000US06037190402,01/01/2014
Employment & Income,Income,Median Household Income,2011,52581,"Census Tract 5362, Los Angeles County, California",536200,South Gate,1400000US06037536200,"(33.920337, -118.1664535)",Median_Household_Income_2011_1400000US06037536200,01/01/2011
Employment & Income,Income,Median Household Income,2010,50018,"Census Tract 1231.03, Los Angeles County, California",123103,North Hollywood,1400000US06037123103,"(34.1906295, -118.365029)",Median_Household_Income_2010_1400000US06037123103,01/01/2010
Employment & Income,Income,Median Household Income,2011,70858,"Census Tract 5020.05, Los Angeles County, California",502005,South Whittier,1400000US06037502005,"(33.951895, -118.03503)",Median_Household_Income_2011_1400000US06037502005,01/01/2011
Employment & Income,Income,Median Household Income,2011,105259,"Census Tract 4034.08, Los Angeles County, California",403408,Walnut,1400000US06037403408,"(34.024588, -117.881909)",Median_Household_Income_2011_1400000US06037403408,01/01/2011
Employment & Income,Income,Median Household Income,2011,42576,"Census Tract 3015.02, Los Angeles County, California",301502,Glendale,1400000US06037301502,"(34.172168, -118.2889385)",Median_Household_Income_2011_1400000US06037301502,01/01/2011
Employment & Income,Income,Median Household Income,2015,28750,"Census Tract 2396.02, Los Angeles County, California",239602,Florence,1400000US06037239602,"(33.9695945, -118.2751195)",Median_Household_Income_2015_1400000US06037239602,01/01/2015
Employment & Income,Income,Median Household Income,2015,93031,"Census Tract 2951.03, Los Angeles County, California",295103,San Pedro,1400000US06037295103,"(33.760268, -118.2968435)",Median_Household_Income_2015_1400000US06037295103,01/01/2015
Employment & Income,Income,Median Household Income,2012,78134,"Census Tract 4826, Los Angeles County, California",482600,Monterey Park,1400000US06037482600,"(34.047759, -118.1144605)",Median_Household_Income_2012_1400000US06037482600,01/01/2012
Employment & Income,Income,Median Household Income,2016,65441,"Census Tract 1312, Los Angeles County, California",131200,Lake Balboa,1400000US06037131200,"(34.2147545, -118.514238)",Median_Household_Income_2016_1400000US06037131200,01/01/2016
Employment & Income,Income,Median Household Income,2016,71030,"Census Tract 4003.04, Los Angeles County, California",400304,San Dimas,1400000US06037400304,"(34.1050345, -117.7997755)",Median_Household_Income_2016_1400000US06037400304,01/01/2016
